ID,Neutral Score,Positive Score,Negative Score,Compund Score,Likes,Views,Like/Views,Comment Score Neg,Comment Score Pos,Comment Score Neu,Comment Score Compund
8irga_AqRdw,0.7426230398069945,0.14727503015681548,0.10467249698431838,0.17567243667068755,9052.0,62910.0,14.388809410268637,0.030070000000000006,0.29017,0.6697500000000002,0.40224200000000004
mijGutvsa_U,0.7966300000000001,0.14333,0.06002,0.17910699999999996,12518.0,118331.0,10.578800145354979,0.05685,0.18082999999999994,0.7623400000000001,0.34496699999999997
NHFt7QTyUfs,0.7763499267935554,0.14831918008784759,0.07093411420204976,0.1597245241581264,59824.0,842809.0,7.0981681496044775,0.05145,0.13103,0.81753,0.20496000000000006
ITjV9Oc5ZZM,0.6726647398843923,0.22719075144508669,0.10012716763005777,0.21491734104046248,16580.0,146017.0,11.3548422443962,0.13106999999999996,0.15985999999999997,0.7091099999999997,0.34423000000000004
j03_Z28LL0w,0.7421588815789477,0.17764473684210522,0.07920493421052628,0.17810240131578747,4894.0,43239.0,11.31848562640209,0.05426190476190476,0.12773809523809523,0.7942380952380952,0.2444023809523809
8JA7eoFaIWA,0.8158560411311051,0.11996658097686372,0.06418251928020566,0.20469074550128524,4475.0,49844.0,8.978011395554129,0.010209999999999999,0.18494999999999998,0.79485,0.267168
z-h4IU2HAzE,0.8037736240913805,0.12760747663551408,0.05200519210799585,0.11723759086188985,5394.0,77304.0,6.9776466935734245,0.05058,0.31672999999999996,0.6127,0.44697999999999977
M91gKrhW8tY,0.7699999999999996,0.0757469135802469,0.13571604938271606,0.13202654320987647,146491.0,1006320.0,14.557099133476429,0.13316999999999996,0.09953,0.7673099999999999,0.17743599999999998
E-UpzmoO0Ok,0.7439188034188038,0.15907692307692298,0.08844017094017093,0.16773461538461534,236225.0,3318225.0,7.11901694430004,0.04349,0.2815,0.64504,0.300445
9gpcP5zod0A,0.7269233142353437,0.15783605112384322,0.10775231379462319,0.18039845747025018,7707.0,43694.0,17.638577379045177,0.042030000000000005,0.3199200000000001,0.6180599999999999,0.3728839999999999
GtDqeelomsM,0.803843220338983,0.10992372881355933,0.08622457627118646,0.13310847457627112,43286.0,324977.0,13.319711856531386,0.0456,0.17374000000000006,0.7706800000000004,0.25962399999999997
30WhHQOy_EE,0.7858525179856118,0.12244784172661871,0.09169424460431651,0.20824982014388468,3553.0,48059.0,7.392996108949417,0.0,0.0,0.0,0.0
dpJrgO-Nwn8,0.7293973477406654,0.1669435166994104,0.10021905697445965,0.18509553045186503,6463.0,46793.0,13.811894941551087,0.06060000000000001,0.31476000000000004,0.5946000000000001,0.4189200000000002
xw11TrFXIAU,0.8301885521885515,0.10397979797979795,0.06415488215488212,0.10273232323232316,2519.0,20843.0,12.085592285179677,0.0073,0.16363000000000003,0.8290600000000002,0.22124199999999994
Hf2Gv2PXCyw,0.7786960000000005,0.08746933333333334,0.10183999999999997,0.1303610666666667,207237.0,1918845.0,10.800090679549417,0.08476000000000003,0.13096000000000005,0.7643000000000001,0.24720499999999987
TS87ihhT8RA,0.7401480446927371,0.1646061452513968,0.08965502793296085,0.17153449720670394,17497.0,205706.0,8.505828706989588,0.08839000000000001,0.16606,0.7155499999999999,0.29199099999999995
42YqI2hKB9M,0.7244660194174758,0.23070873786407764,0.0448252427184466,0.19969029126213586,10854.0,160195.0,6.7754923686756765,0.06502000000000001,0.18996999999999997,0.74497,0.26114400000000004
nsNZlO7x8fo,0.7263535528596171,0.15728249566724406,0.11058694396302717,0.1886266897746961,5530.0,56154.0,9.847918224881576,0.06895000000000001,0.24328,0.6877599999999998,0.279188
gm88F2p1RqA,0.7762799999999999,0.12226999999999999,0.09145000000000002,0.1528955,173250.0,1323040.0,13.094842181642278,0.06484,0.12566000000000002,0.79952,0.16303100000000004
ykFOqhCDCCU,0.6955295992714001,0.1757522768670308,0.12597358834244063,0.19218984517303994,3292.0,36515.0,9.01547309324935,0.029190000000000004,0.24969999999999995,0.72111,0.24611699999999995
e12KSrSrs00,0.7982261904761909,0.10021428571428569,0.10155555555555554,0.13813253968253963,58585.0,423723.0,13.826249696145831,0.11492000000000002,0.09954,0.7755600000000001,0.2848219999999999
Qf1IMOIBoTk,0.7503905579399143,0.12022746781115883,0.12939055793991416,0.18358669527896992,118960.0,905793.0,13.13324346732642,0.1442,0.17552999999999996,0.67029,0.329288
G1K9fZr1eeI,0.7574977777777772,0.1599777777777777,0.07808000000000002,0.17171644444444445,186782.0,2062507.0,9.056066233957024,0.10303000000000002,0.10304000000000002,0.7739799999999998,0.23313199999999987
ppmndygYV2Q,0.7604008683068018,0.15452821997105648,0.08506801736613605,0.16049565846599131,5711.0,45079.0,12.668870205638989,0.006059999999999999,0.4750500000000001,0.5088999999999998,0.48369100000000015
-wB4lDFETx8,0.8182277657266812,0.08731019522776574,0.09012581344902384,0.12072082429501088,236370.0,2906843.0,8.131502114149267,0.06553,0.21582000000000004,0.69864,0.26900500000000005
DvpTO3JWZj8,0.6875333333333334,0.2250533333333335,0.08741333333333333,0.22766933333333328,15512.0,309359.0,5.014239120245411,0.09069999999999999,0.12749,0.7818299999999999,0.35558800000000007
1SMeHq3yrS8,0.7303607647547777,0.15949875311720696,0.10182959268495434,0.18441504571903616,3730.0,24009.0,15.53584072639427,0.012610000000000001,0.25395,0.7334300000000001,0.3287290000000001
OFyFwMZ7qu8,0.8057235772357721,0.12143495934959346,0.07283739837398373,0.14825813008130084,21374.0,311083.0,6.870835114744296,0.12317,0.09546999999999999,0.7613600000000001,0.23535599999999995
