ID,Neutral Score,Positive Score,Negative Score,Compund Score,Likes,Views,Like/Views,Comment Score Neg,Comment Score Pos,Comment Score Neu,Comment Score Compund
ua4QMFQATco,0.7854241316270558,0.11069652650822669,0.09839122486288844,0.012092138939670928,212286.0,5575576.0,3.8074272505656817,0.09206999999999999,0.23287,0.6650200000000003,0.21003400000000005
vePc5V4h_kg,0.774536159600998,0.15671571072319193,0.06625935162094763,0.06609999999999995,1465969.0,97608644.0,1.5018844027789178,0.046630000000000005,0.13427,0.8091100000000003,0.08715300000000002
9nidKH8cM38,0.810496525584334,0.08731143398610239,0.10156032849020857,-0.013500063171193927,55669.0,2081476.0,2.674496367001109,0.13439,0.18902999999999995,0.6665399999999998,0.06470299999999998
GYeKX_LPY9U,0.6892205882352938,0.22190196078431368,0.08234967320261438,0.10577990196078425,157107.0,7826528.0,2.0073652071518815,0.12863999999999998,0.25183000000000005,0.6195100000000001,0.14868200000000004
KmVG1Yx1kwQ,0.8483210412147498,0.12295010845986978,0.028728850325379605,0.08031908893709322,9419.0,488654.0,1.9275397315892226,0.061270000000000005,0.17303999999999997,0.7656800000000001,0.19508399999999995
tqvEEqWGCyE,0.7536086956521741,0.11563043478260868,0.13075724637681163,-0.02608152173913043,50150.0,819901.0,6.116592125146816,0.14350999999999997,0.20455999999999996,0.6519099999999999,0.015584000000000002
Djy3WNLz_mM,0.9151068702290077,0.04619847328244275,0.03869465648854962,0.003726717557251907,46734.0,2435389.0,1.9189542204551306,0.09598989898989897,0.15220202020202023,0.7518282828282828,0.05953131313131315
NSuaUok-wTY,0.8112471910112359,0.11068539325842695,0.07807865168539325,0.013082022471910107,1152908.0,27956180.0,4.1239826042041505,0.07196999999999999,0.21953,0.7085399999999997,0.15347899999999998
CqRKOY4Cgvw,1.0,0.0,0.0,0.0,19183.0,1062178.0,1.806006149628405,0.06268000000000001,0.22422000000000003,0.7030600000000002,0.21856599999999995
uROtbSbkaq8,0.801175,0.10399500000000003,0.08983500000000001,0.015167500000000007,77976.0,1912837.0,4.076458161359279,0.11336,0.16409999999999988,0.7225199999999999,0.11596199999999998
hid7EJkwDNk,0.8512710526315785,0.09092894736842104,0.05779736842105262,0.02177842105263158,132981.0,2498852.0,5.321683717162921,0.09784999999999998,0.23608999999999994,0.66608,0.10148700000000002
0wurtsQ31TE,0.9227360000000001,0.06948399999999999,0.00778,0.0523304,38540.0,961921.0,4.006566027771512,0.07915000000000001,0.09633999999999998,0.8245100000000001,0.083325
y8XvQNt26KI,0.8122176870748301,0.13358503401360539,0.0541904761904762,0.09564217687074832,406969.0,10190500.0,3.993611697168932,0.10501,0.11575999999999999,0.7792399999999998,0.04772199999999998
UYEyhB0AGlw,0.7683513513513517,0.17766722972972976,0.045532094594594605,0.08801452702702693,169088.0,5642258.0,2.9968143959386473,0.07381000000000001,0.19286,0.7333399999999999,0.247783
5NNO5Kb-PZo,0.7837376543209876,0.18663271604938272,0.023459876543209877,0.14945802469135794,260451.0,7970314.0,3.2677633528616314,0.06060999999999999,0.18967000000000003,0.7497199999999999,0.221739
jTMJK7wb0rM,0.9227025572005385,0.06635127860026915,0.010944818304172274,0.04250242261103634,52461.0,1541813.0,3.4025527090509677,0.04247,0.19105999999999995,0.7564799999999999,0.22539799999999993
jn5M48MVWyg,0.8355652173913043,0.09334510869565217,0.0710951086956522,-0.00456711956521739,187962.0,4457459.0,4.216797058593248,0.08214,0.17416,0.7436999999999999,0.09768900000000003
zid3RxWQbVg,0.776846153846154,0.12643956043956045,0.09673626373626375,0.02877472527472527,82192.0,2298148.0,3.5764450331310256,0.10013999999999999,0.09998,0.7998999999999999,-0.002847999999999995
AnvxnAGpjEM,0.720723880597015,0.15341044776119397,0.11839552238805971,0.025856716417910448,64017.0,1818385.0,3.5205415794784933,0.16625999999999996,0.12533,0.7084199999999999,-0.049234
7wpxSKrd77Y,1.0,0.0,0.0,0.0,4090.0,397695.0,1.028426306591735,0.13548,0.19118000000000002,0.67333,0.06156199999999999
1TDIAObsqcs,0.8808333333333335,0.07254761904761904,0.046619047619047616,0.019416666666666676,135353.0,3190692.0,4.242120518056898,0.06292,0.10254000000000002,0.8345600000000001,0.08724
ALaTm6VzTBw,0.7479696969696972,0.2163939393939394,0.03563636363636363,0.15424848484848486,463652.0,11423439.0,4.058777746351164,0.03941,0.15066000000000002,0.8099300000000003,0.15277800000000005
1E_dafyt5eA,0.8310532407407406,0.14253240740740736,0.026414351851851845,0.10071643518518512,48658.0,747334.0,6.510877331955993,0.053229999999999986,0.29678000000000004,0.65,0.4073409999999999
H_akzwzghWQ,0.804129186602871,0.09606698564593305,0.09021531100478465,0.025788995215310997,49699.0,2358647.0,2.107097840414441,0.08401,0.12911,0.78685,0.08698600000000002
avBkdqMUOlI,0.9005225,0.07875249999999999,0.0207275,0.05365250000000002,37696.0,1353719.0,2.7846251696253064,0.05502999999999998,0.15610999999999997,0.7888699999999994,0.10679900000000009
oLFCZwmmi3U,0.8927064220183486,0.08306880733944956,0.024224770642201836,0.04689174311926606,23141.0,535232.0,4.323545677388497,0.14920000000000003,0.117,0.7337799999999999,0.002255000000000001
NK6MWt7vpVE,0.8080674603174604,0.12209920634920637,0.06983333333333334,0.04213611111111111,181253.0,6031451.0,3.0051309378124764,0.05019,0.20867999999999998,0.7311200000000001,0.13730799999999999
DVvmgjBL74w,0.8031802638006843,0.1595564240351734,0.034817782120175854,0.09438392769907196,77544.0,2609052.0,2.9721140092263396,0.0,0.0,0.0,0.0
